id,first_name,last_name,email,phone,avatar_url,role,status,email_verified,_saved_at
8e345a16-4eb0-4f51-b1d7-6b897eabd19e,nwzdhB,DsHFrV,user3852@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404479400+00:00
cb17e886-592d-4810-ad71-fbd838d219a8,8lBRKT,245Rdp,user6604@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404511400+00:00
5c1084e4-6995-4db9-ad20-efcfb0219a1d,plcyUm,BZxyRK,user2742@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404524800+00:00
042c13d9-b274-40a0-8da3-3274da7f06ec,uYrRqS,EwSmFY,user9470@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404537700+00:00
7a9c8056-757a-45cb-8aa8-9baa6f40dbcf,xfXAju,MW2U9j,user3078@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404551900+00:00
e4175ee2-fcf8-47a0-8d93-803d7651c49d,u6IIN8,xeaYHz,user4706@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404566800+00:00
56878cf3-bb51-483d-8cfa-a236994083a4,8BiSqr,olc0Dj,user2386@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404581900+00:00
54810632-54ef-437a-9b80-a1a8d5714807,7FPvrI,1Izj5q,user1561@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404591100+00:00
146d9160-c5ee-43d4-86e8-f81e67add197,1xbz9J,WFVpy2,user4089@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404598200+00:00
13b92802-5272-4ee9-b9d4-43260a9c6202,r5pxl8,1AzXti,user9879@example.com,0812345678,https://cdn.example.com/avatars/123.jpg,customer,active,true,2026-07-23T08:57:25.404605200+00:00
